Azienda,link1,link2,link3
CASA EMMA SOCIETA' AGRICOLA S.S.,https://casaemma.it/,https://casaemma.it/en/,https://casaemma.it/wine-tasting/
FRANCESCO CADINU,https://francescocadinu.it/,https://francescocadinu.it/de-oro/,https://francescocadinu.it/contatti/
TOSCANI,https://www.regione.toscana.it/,https://www.regione.toscana.it/servizi-online,https://www.regione.toscana.it/bandi-aperti
"""BEDIN"" AZIENDA AGRICOLA COLLI ASOLANI",https://www.colliasolani.it/,https://www.colliasolani.it/it/i-nostri-vini,https://www.colliasolani.it/it/contatti
"""CONTI COSTANTI"" AZIENDA AGRARIA DI ANDREA COSTANTI",https://www.costanti.com/,https://www.costanti.com/en/home/home,https://www.costanti.com/it/221/visite
"""LA CAPLANA"" DI GUIDO NATALINO S.A.S. & ""VILLAVECCHIA""",https://www.lacaplana.it/it/,https://vinitalyplus.com/fr/companies/3481_059541000/la-caplana-di-guido-natalino-sas-villavecchia,placeholder
"""LA STAFFA"" DI BALDI RICCARDO & C. S.S. SOCIETÀ AGRICOLA",https://vinilastaffa.it/,https://vinitalyplus.com/it/companies/3769_260208859/la-staffa-di-baldi-riccardo-c-ss-societa-agricola,https://imtdoc.it/associato/societa-agricola-la-staffa-di-baldi-riccardo-e-c-s-s/
'ESOLE,https://esol.unina.it/,https://sondaggi.unina.it/,placeholder
A.C. MARKETING & TRADE S.R.L.,https://acmarketingtrade.com/en/,https://acmarketingtrade.com/en/contatti/,https://vinitalyplus.com/it/companies/923_260186708/ac-marketing-trade-srl
ABBAZIA CASA VINICOLA,https://www.abbazia.it/,https://www.abbazia.it/vini/,https://www.abbazia.it/contatti/
ABBAZIA DI NOVACELLA,https://www.kloster-neustift.it/it/,https://www.kloster-neustift.it/it/cantina/vini/,https://www.kloster-neustift.it/it/visita-e-esperienza/tour-e-visite-guidate/
ABBONA DI ABBONA MARZIANO E C.,https://www.abbona.com/,https://www.abbona.com/vini/,https://www.abbona.com/en/
ABRAMI ELISABETTA,https://vinielisabettaabrami.it/,https://vinielisabettaabrami.it/esperienze/,https://vinielisabettaabrami.it/contatti/
ACCORDINI IGINO DI ACCORDINI GUIDO,https://www.accordini.it/,https://iginoaccordini.it/,https://iginoaccordini.it/igino-accordini/
ACCORNERO GIULIO E FIGLI AZIENDA AGRICOLA,https://www.accornerovini.it/,https://www.accornerovini.it/negozio/,https://www.accornerovini.it/vini/
ACETAIA DELIZIA ESTENSE - AZIENDA AGRICOLA EREDI BERTONI SANTE,https://www.deliziaestense.it/,https://www.deliziaestense.it/contatti/,https://www.deliziaestense.it/eventi/
ACQUA MINERALE SAN BENEDETTO S.P.A.,https://www.sanbenedetto.it/it,https://www.sanbenedetto.it/it/azienda/chi-siamo,https://www.sanbenedetto.it/it/prodotto/categoria-di-prodotto/acque-minerali
ADA NADA AZIENDA AGRICOLA,https://www.adanada.it/,https://www.adanada.it/cantina/,https://www.adanada.it/informativa-sulla-privacy/
ADAMI,https://shop.stefanoadami.it/,https://www.adamiprosecco.it/,https://www.adamitrasporti.com/
ADRIA VINI S.R.L.,https://www.siquria.it/aziende/Adria_Vini_Srl-31031,https://www.vinievino.it/cantina/asti/castel-boglione/adria-vini-srl-4378.html,https://vinitalyplus.com/de/companies/2019_260183796/adria-vini-srl
AEC WINES SRL,https://www.acwines.it/,https://www.acwines.it/privacy,https://vinitalyplus.com/it/companies/UvaCT_XRUV-XPnh0KUtxo/aec-wines-srl
AFRIWINES S.R.L. - VINI DEL SUDAFRICA,https://www.afriwines.com/,https://www.afriwines.com/wines.asp,https://www.afriwines.com/contatti.asp
AGB SELEZIONE SRL A SOCIO UNICO,https://agbselezione.com/,https://agricolegussalliberetta.com/agb-selezione.html,https://www.ufficiocamerale.it/1218/agb-selezione-srl
AGOSTINA PIERI,https://www.pieriagostina.it/,https://www.pieriagostina.it/contatti/,https://www.consorziobrunellodimontalcino.it/it/1392/agostina-pieri
AGOSTINO PAVIA E FIGLI,https://www.agostinopavia.it/,https://www.agostinopavia.it/it/vini-agostino-pavia.php,https://www.agostinopavia.it/en/
AGRARIA RIVA DEL GARDA - CANTINA & FRANTOIO DAL 1926,https://www.agririva.it/,https://store.agririva.it/,https://www.agririva.it/soci-in-cooperativa.php
AGRICOLA ARMÒNJA,https://www.agricolaarmonja.com/,https://www.agricolaarmonja.com/en/la-nostra-identita/,https://pugliawineworld.it/en/companies/agricola-armonja-2/
AGRICOLA CASA AL VENTO SNC,https://www.borgocasaalvento.com/,https://www.borgocasaalvento.com/it/cantina,https://www.borgocasaalvento.com/it/4-hotel
AGRICOLA ERARIO,https://agricolaerario.com/,https://agricolaerario.com/en/primitivo-di-manduria/,https://agricolaerario.com/visite-degustazioni/
AGRICOLA GIAN PIERO MARRONE S.N.C.,https://www.agricolamarrone.com/,https://visit.agricolamarrone.com/,https://www.tripadvisor.it/Attraction_Review-g815384-d2650915-Reviews-Agricola_Gian_Piero_Marrone-La_Morra_Province_of_Cuneo_Piedmont.html
AGRICOLA NAE SRL,https://www.cantinenae.it/,https://www.cantinenae.it/privacy-policy,https://www.ufficiocamerale.it/8266/societa-agricola-nae-srl
AGRICOLE ALBERTO LONGO SOCIETÀ AGRICOLA A R.L.,https://albertolongo.it/,https://albertolongo.it/i-vini/vini-alberto-longo/,https://shop.albertolongo.it/
AGRIPUNICA S.P.A.,https://www.agripunica.it/,https://www.agripunica.it/i-nostri-vini.html,https://www.agripunica.it/la-cantina.html
AGRIVERDE,https://www.cantineagriverde.com/,https://www.cantineagriverde.com/negozio/,https://www.cantineagriverde.com/contatti/
AIS ASSOCIAZIONE ITALIANA SOMMELIER,https://www.aisitalia.it/,https://www.aisitalia.it/my-ais-2/,https://www.aisitalia.it/corso-sommelier-ais/
ALBERTO BALLARIN AZIENDA AGRICOLA,https://www.albertoballarin.it/,https://www.albertoballarin.it/contatti/,https://www.albertoballarin.it/shop-online/
ALBINO ARMANI VITICOLTORI DAL 1607,https://www.albinoarmani.com/en/,https://www.albinoarmani.com/contatti/,https://www.albinoarmani.com/shop-vini/
ALBINO PIONA AZIENDA AGRICOLA DI ALBINO PIONA E FIGLI SOC. AGR. SEMPLICE,https://www.albinopiona.it/,https://www.albinopiona.it/vini,https://www.albinopiona.it/visite
ALBINO ROCCA,https://www.albinorocca.com/,https://www.albinorocca.com/angelo-rocca/,https://www.albinorocca.com/vini/
ALCESTI,https://www.alcesti.it/,https://www.alcesti.it/en/contacts/,https://www.frescodivigna.com/it/alcesti_1
ALDEGHERI,http://www.cantinealdegheri.it/,https://www.cantinealdegheri.it/foto/,https://www.cantinealdegheri.it/le-pietre-rosso-veronese-igt/
ALESSANDRA SRL SOCIETÀ AGRICOLA,https://alessandrasrl.bdf.land/,https://agrospaclub.it/,https://www.ufficiocamerale.it/3117/alessandra-srl-societa-agricola
ALESSANDRIA FRATELLI,https://www.fratellialessandria.it/,https://www.fratellialessandria.it/i-nostri-vini/,https://www.fratellialessandria.it/contatti/
ALIBRIANZA S.R.L. - CANTINE ANDREAS MAZZEI,https://www.alibrianza.it/it/home.html,https://www.alibrianza.it/it/kontakt-it.html,https://www.alibrianza.it/it/vini.html
